game_id,team_abbreviation_home,season_fg_pct_home,season_3pt_pct_home,season_tov_avg_home,season_ast_avg_home,season_ast_tov_pct_home,season_avg_fta_game_home,season_ft_pct_game_home,team_abbreviation_away,season_fg_pct_away,season_3pt_pct_away,season_tov_avg_away,season_ast_avg_away,season_ast_tov_pct_away,season_avg_fta_game_away,season_ft_pct_game_away,off_1,off_1_num_games,off_1_avg_fta,off_1_avg_pts_per_game,off_1_avg_score_diff,off_1_avg_pbp,off_2,off_2_num_games,off_2_avg_fta,off_2_avg_pts_per_game,off_2_avg_score_diff,off_2_avg_pbp,off_3,off_3_num_games,off_3_avg_fta,off_3_avg_pts_per_game,off_3_avg_score_diff,off_3_avg_pbp,total_game_points,matchup_fg_pct,matchup_3pt_pct,matchup_tov_avg,matchup_ast_avg,matchup_ast_tov_pct,matchup_avg_fta_game,matchup_ft_pct_game
0022200850,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,SAS,0.4551463414634146,0.3389268292682927,15.195121951219512,26.609756097560975,1.7512038523274478,21.317073170731707,0.736219512195122,Phenizee_Ransom,36,45.611111111111114,230.52777777777777,12,465,Natalie_Sago,48,48.0,228.8125,11,472,Ben_Taylor,56,48.32142857142857,230.375,12,470,231.0,0.9645,0.7044999999999999,27.0,50.5,1.8703703703703705,36.0,1.573
0022200876,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,NYK,0.4618292682926829,0.35092682926829266,13.097560975609756,22.390243902439025,1.7094972067039107,25.170731707317074,0.7513902439024389,Karl_Lane,54,46.574074074074076,230.4814814814815,11,464,Eric_Lewis,53,49.9811320754717,226.39622641509433,11,468,Brandon_Schwab,31,44.41935483870968,228.90322580645162,11,466,223.0,0.91875,0.6507499999999999,21.25,47.0,2.211764705882353,40.0,1.60725
0022200896,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,CLE,0.48480487804878053,0.3671951219512195,12.902439024390244,24.317073170731707,1.88468809073724,22.0,0.7888780487804876,Mitchell_Ervin,58,51.3448275862069,235.63793103448276,10,475,Bill_Kennedy,57,48.29824561403509,230.01754385964912,10,470,Jonathan_Sterling,37,46.945945945945944,230.54054054054055,13,471,255.0,1.0153333333333334,0.8536666666666667,28.333333333333332,47.0,1.6588235294117648,49.0,1.6773333333333333
0022200923,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,WAS,0.4873658536585366,0.33775609756097574,14.073170731707316,24.878048780487806,1.7677642980935875,23.902439024390244,0.7558048780487806,Brandon_Adair,44,43.95454545454545,223.0909090909091,10,462,Brian_Forte,53,46.81132075471698,227.96226415094338,9,468,Ed_Malloy,38,45.921052631578945,232.60526315789474,11,459,235.0,0.9935,0.71875,27.0,51.25,1.8981481481481481,46.25,1.63725
0022200947,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,POR,0.4705853658536584,0.3606829268292683,14.390243902439025,24.365853658536587,1.693220338983051,24.29268292682927,0.7783902439024393,John_Butler,41,47.48780487804878,229.4878048780488,13,471,JB_DeRosa,52,50.69230769230769,232.51923076923077,10,480,Andy_Nagy,36,44.638888888888886,230.11111111111111,11,459,240.0,1.027,0.8514999999999999,25.0,51.0,2.04,46.5,1.651
0022201008,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,BOS,0.46819512195121954,0.3729756097560976,12.853658536585366,26.51219512195122,2.062618595825427,20.048780487804876,0.8114390243902441,Nick_Buchert,49,48.46938775510204,227.77551020408163,9,465,Matt_Myers,37,47.0,228.32432432432432,9,470,Sean_Wright,52,47.76923076923077,228.65384615384616,10,461,259.0,0.9780000000000001,0.7303333333333334,22.333333333333332,56.333333333333336,2.5223880597014925,28.0,1.6716666666666669
0022201021,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,MIN,0.4970731707317073,0.3717804878048781,15.048780487804878,26.26829268292683,1.7455429497568882,23.926829268292682,0.739390243902439,Mitchell_Ervin,58,51.3448275862069,235.63793103448276,10,475,Scott_Foster,47,46.638297872340424,233.2127659574468,10,467,CJ_Washington,34,48.76470588235294,231.88235294117646,11,471,251.0,1.0295,0.748,28.5,55.5,1.9473684210526316,52.5,1.6124999999999998
0022201078,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,DET,0.44609756097560993,0.33856097560975607,15.0,21.609756097560975,1.440650406504065,25.317073170731707,0.7821219512195123,Matt_Boland,42,47.95238095238095,228.95238095238096,12,478,Bill_Kennedy,57,48.29824561403509,230.01754385964912,10,470,Karl_Lane,54,46.574074074074076,230.4814814814815,11,464,236.0,0.942,0.6885,21.75,46.75,2.1494252873563218,54.0,1.56275
0022201107,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,IND,0.4651951219512194,0.36529268292682926,15.048780487804878,26.5609756097561,1.7649918962722853,23.48780487804878,0.7815365853658537,Brian_Forte,53,46.81132075471698,227.96226415094338,9,468,Scott_Wall,30,46.266666666666666,227.4,10,462,Zach_Zarba,56,44.25,230.14285714285714,11,463,273.0,0.9620000000000001,0.789,26.0,56.666666666666664,2.1794871794871793,47.666666666666664,1.665333333333333
0022201115,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,MEM,0.46419512195121954,0.3471951219512195,14.292682926829269,25.48780487804878,1.7832764505119454,24.414634146341463,0.7327804878048779,Matt_Myers,37,47.0,228.32432432432432,9,470,Aaron_Smith,54,45.53703703703704,229.2962962962963,12,462,Josh_Tiven,48,48.583333333333336,227.39583333333334,9,465,242.0,0.978,0.675,30.0,55.5,1.85,42.5,1.5945
